"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"5033404E19Rik",5.02288797632155,-2.92841937408217,22.7925438136681,2.47513357068141e-11,3.55453932085557e-07,15.1044963572325,"5033404E19Rik"
"4933423P22Rik",5.2882081306825,-2.69037235774441,20.5570199427387,8.41305644476975e-11,5.29270292621676e-07,14.2441463773421,"4933423P22Rik"
"Cyp24a1",12.7365882551947,6.5937502326481,19.8987161038642,1.23571882812339e-10,5.29270292621676e-07,13.9616154868024,"Cyp24a1"
"Krt7",1.61397356477496,6.40099201344226,19.6032907700521,1.47418784937449e-10,5.29270292621676e-07,13.8300569471184,"Krt7"
"Ecel1",2.49527981667128,1.39789228970196,17.1607578950761,7.03447532850686e-10,2.02044200385374e-06,12.6156629811044,"Ecel1"
"Wfdc16",3.28442965106502,1.86418444314562,15.3705388448071,2.53616796474512e-09,5.22027046805646e-06,11.5579495668957,"Wfdc16"
"Lrrc26",1.85624642683516,4.9603231191726,15.3661761718374,2.54452289369788e-09,5.22027046805646e-06,11.5551718116342,"Lrrc26"
"5031439G07Rik",1.28849452303234,5.78274687966079,15.0750534849922,3.17514219247661e-09,5.69977712826957e-06,11.3674430772265,"5031439G07Rik"
"Prelp",3.95533509572403,6.28160867736791,14.1685783884325,6.4908518887653e-09,9.52938920630942e-06,10.7516612115931,"Prelp"
"Gm29374",5.02441999354487,-2.3166238460177,14.1414135559649,6.63560281756801e-09,9.52938920630942e-06,10.7324439071757,"Gm29374"
"Rnf149",1.3071969484265,6.17012176878336,13.9029399048915,8.06644154452482e-09,9.9522793068972e-06,10.5617467316367,"Rnf149"
"Gdpd5",1.81587547424087,4.93807272548964,13.8660406093893,8.31608882966133e-09,9.9522793068972e-06,10.5350112077887,"Gdpd5"
"Fam20c",2.90310847893793,0.949504472020434,13.4564579269277,1.17217151182048e-08,1.29488885240414e-05,10.2322731672613,"Fam20c"
"Cnnm1",1.92013425004671,2.53603855724808,13.3533476830451,1.27982809920394e-08,1.31282938090485e-05,10.1542970286509,"Cnnm1"
"Ppard",0.837595559738286,8.8643159154195,13.2662093306218,1.37912680187177e-08,1.32037600011203e-05,10.0878336130705,"Ppard"
"Atoh8",2.25320552246312,1.38934237375413,12.9985147921528,1.73974947074732e-08,1.56153388433764e-05,9.88035352785314,"Atoh8"
"Grin1os",2.20575622713354,1.39902201670947,12.8156496491946,2.04386711338961e-08,1.72658680090519e-05,9.73569843812559,"Grin1os"
"Atp2b1",1.65005542389975,8.08610544687774,12.6117965578614,2.45178850579166e-08,1.95611859620411e-05,9.57157166072303,"Atp2b1"
"Ripor3",5.39593505658311,-1.52430527417874,12.3818968854097,3.01962912299315e-08,2.18212268521706e-05,9.38275580013862,"Ripor3"
"Gm2061",3.34511973627542,3.35261591089986,12.3264845969521,3.17670453931346e-08,2.18212268521706e-05,9.3366448738153,"Gm2061"
"Orai1",1.43798650408979,5.0804695718203,12.3216213187605,3.1909042817045e-08,2.18212268521706e-05,9.33258666109743,"Orai1"
"Myadm",1.33059729513752,6.4198025965036,12.1982677680429,3.57490864766975e-08,2.33360286769024e-05,9.2290404082473,"Myadm"
"Slc30a1",1.56874947720002,5.30993189565161,12.0256251842142,4.19818305026605e-08,2.62130899064656e-05,9.08211642472029,"Slc30a1"
"Slc37a2",3.32306777727017,6.30291674874452,11.9493430544319,4.50998320265799e-08,2.69866119889047e-05,9.01644257750162,"Slc37a2"
"Ptprj",1.9147584980228,5.45518877211035,11.6224451046663,6.15826003254506e-08,3.49405723129228e-05,8.72963892865579,"Ptprj"
"Trim47",3.73272616524981,0.216092173929287,11.594627656121,6.32584694753841e-08,3.49405723129228e-05,8.70482455314055,"Trim47"
"6330403L08Rik",1.70750353502662,2.82971498221177,11.4982329101574,6.94560264853373e-08,3.69428887539233e-05,8.61833116251926,"6330403L08Rik"
"S100g",3.18671587247496,7.34423443266183,11.1958050473297,9.35296539286307e-08,4.7970691431038e-05,8.341791004003,"S100g"
"Nkain1",1.63216083767397,2.31471337658115,10.9067842876984,1.25088882108111e-07,6.1944877101882e-05,8.06996576783865,"Nkain1"
"Bzw1",0.857534607163444,8.17989021301297,10.7536489247769,1.46302286709947e-07,7.00349046480518e-05,7.92286118405325,"Bzw1"
"Car8",1.1966953360874,3.65663719026708,10.6871468230173,1.56691265421017e-07,7.25884923455232e-05,7.85829973003386,"Car8"
"Hmga2",1.13849192712237,4.00713426423438,10.6128967660856,1.69235050979182e-07,7.5949517722251e-05,7.7857252134065,"Hmga2"
"Mapre2",1.55195915560773,6.26807845052073,10.4367216436265,2.03526574511645e-07,8.85710647442952e-05,7.61142498453414,"Mapre2"
"Galnt10",1.14084527180439,6.6198189732392,10.3701969345976,2.18356517293924e-07,9.22299395546481e-05,7.54482945276353,"Galnt10"
"Inpp5j",1.58721236606612,5.01784678511133,10.2428936578812,2.50071472246136e-07,0.000102607897512193,7.41618229613313,"Inpp5j"
"Ccdc134",1.50672861865668,4.60754055371434,10.1731248679488,2.69522453957085e-07,0.000105017974325793,7.34499636980068,"Ccdc134"
"Ttc22",1.3184011569313,5.3719794703928,10.1695199679636,2.70570646198339e-07,0.000105017974325793,7.34130504632604,"Ttc22"
"Soat1",1.80955455906451,6.48698243556596,9.97733277295167,3.33314949191551e-07,0.000125966736456312,7.14261184957077,"Soat1"
"Prr5",0.818660665750826,5.54438763868775,9.94888319986604,3.43859520392386e-07,0.000126619655701412,7.11287957275214,"Prr5"
"9630028B13Rik",2.0345123256911,0.0638063099051986,9.91889158015516,3.55364424461784e-07,0.000127584712492392,7.0814455595903,"9630028B13Rik"
"Pgap1",1.37529530123895,5.7693783463225,9.83318319539698,3.9058000977809e-07,0.000136807793181052,6.99110205741916,"Pgap1"
"Vsir",1.821135643129,1.62051318804508,9.62092197594525,4.94962111409677e-07,0.00016924168766558,6.76404491300117,"Vsir"
"Mmgt2",0.605601596865263,4.50568565403822,9.55030129136119,5.36032515392059e-07,0.000179022394268497,6.68743806263149,"Mmgt2"
"Myo19",0.860020266357514,5.19763151587155,9.38563984087968,6.46687828339622e-07,0.000211070088699666,6.50671896657085,"Myo19"
"St3gal6",-0.821498065254677,5.21104231471804,-9.3521717503895,6.72042131896635e-07,0.000214471045692613,6.4696237212967,"St3gal6"
"Sdr42e1",1.51574466794442,4.80140356904433,9.06615082492319,9.37660837613777e-07,0.000285799507751796,6.14749871195894,"Sdr42e1"
"Pip5k1b",0.51439116483524,6.29147768465749,9.05310637938492,9.52194568221148e-07,0.000285799507751796,6.13258677644859,"Pip5k1b"
"Inmt",4.233865594232,-2.01242281443116,9.05038925851413,9.55252167125284e-07,0.000285799507751796,6.12947820842464,"Inmt"
"Ppox",0.819719026812852,4.67048540014979,8.66118981243784,1.52371495592195e-06,0.000440027444929753,5.67532518660356,"Ppox"
"Mctp2",1.84751083583627,3.09941537742834,8.6567329887806,1.53202229973454e-06,0.000440027444929753,5.67002079252794,"Mctp2"
"Zhx2",0.79024599251373,4.95765140790055,8.63912282967926,1.5653242436761e-06,0.000440776891439852,5.64903829148675,"Zhx2"
"Trim13",1.12593675143756,1.75320199949297,8.54436863115094,1.75832448639995e-06,0.000485601883638263,5.53549594979657,"Trim13"
"Gprc5b",2.87904267191801,0.270915301623541,8.45133693923004,1.97278204226237e-06,0.000534549488847735,5.42295470290677,"Gprc5b"
"Spon2",5.77590860909309,-0.78977614063,8.41755133923575,2.05745273094228e-06,0.000543289206153933,5.38182106834354,"Spon2"
"Car6",3.51567105996212,-0.291474063116626,8.40853573860577,2.08069816436643e-06,0.000543289206153933,5.37082086440996,"Car6"
"4933412E12Rik",1.12587665618444,0.638948399616238,8.36046920025574,2.2094651699529e-06,0.000549836602479445,5.31200364308223,"4933412E12Rik"
"Asap1",1.02281424533524,3.39818847471964,8.35685287391372,2.21949196868997e-06,0.000549836602479445,5.30756688699609,"Asap1"
"Gm48850",-1.29911651026966,2.23540928664372,-8.35644213903434,2.22063386559486e-06,0.000549836602479445,5.30706286660296,"Gm48850"
"Gm8281",3.02095993785013,2.37441036999331,8.30911245807817,2.3565198241898e-06,0.000557953171614191,5.24884303965085,"Gm8281"
"Dynll2",0.816878568732785,7.90377960481005,8.28697199101546,2.42311478022128e-06,0.000557953171614191,5.22151222027015,"Dynll2"
"Tcf23",-1.14181384004996,1.66904363379239,-8.27953898215703,2.44592097281008e-06,0.000557953171614191,5.21232294097925,"Tcf23"
"Gm10409",3.66297709914857,-1.73844096728979,8.27897062553862,2.44767424355505e-06,0.000557953171614191,5.21162000808694,"Gm10409"
"Gm3020",3.66297709914857,-1.73844096728979,8.27897062553862,2.44767424355505e-06,0.000557953171614191,5.21162000808694,"Gm3020"
"Slc30a10",2.26356609389948,6.88003437496822,8.2487757285207,2.542779546401e-06,0.000564557706016442,5.17421721670537,"Slc30a10"
"Raet1e",2.41964735653942,0.518479784688959,8.24489967924523,2.55527128271491e-06,0.000564557706016442,5.16940760690107,"Raet1e"
"Epb41l4a",1.18293048953498,0.558700587481479,8.23180364974024,2.59796483811996e-06,0.00056529353091274,5.15314335782269,"Epb41l4a"
"Cped1",2.24609268036144,2.07456328914731,8.21416134136896,2.65668917153097e-06,0.000569443480482929,5.13119879926976,"Cped1"
"Nrp1",1.52853506349049,0.290339981821709,8.09921982491007,3.07577761765268e-06,0.000648939613017998,4.98726186753266,"Nrp1"
"Vstm5",1.27032560397222,4.82020955364649,8.07616750732838,3.16804052497858e-06,0.000648939613017998,4.9581915728466,"Vstm5"
"Cdc14a",0.866898493438232,4.58643002932712,8.06713802665444,3.2049816846502e-06,0.000648939613017998,4.94678631869006,"Cdc14a"
"D130043K22Rik",-1.53138035665767,3.53529172417983,-8.06036996178908,3.23297272399879e-06,0.000648939613017998,4.93823062787827,"D130043K22Rik"
"Snx8",1.39655275617834,2.50755576876437,8.05544395923173,3.25350965373552e-06,0.000648939613017998,4.93199983813376,"Snx8"
"Ifngr1",-0.649157913155948,6.47429102784424,-8.03467770004016,3.34163106074056e-06,0.000657385803606784,4.90569876574667,"Ifngr1"
"Vav3",-1.51488520238853,1.50649102515648,-7.97965614816908,3.58767781603692e-06,0.000688813187437166,4.83574352417027,"Vav3"
"Gm43429",1.61494570471949,0.328160057649312,7.97758462410921,3.59731140295156e-06,0.000688813187437166,4.83310211072303,"Gm43429"
"Hpse",1.22095689303984,3.94636317138287,7.96731845900267,3.64546357505809e-06,0.000688848715808017,4.8200034504568,"Hpse"
"Ssbp4",0.8570526301879,4.74702501119052,7.9298551641086,3.82710564840302e-06,0.000713780054762543,4.7720877331096,"Ssbp4"
"Gna15",3.45610848921729,-2.24214582679073,7.89331097324739,4.01363304371396e-06,0.000732980021647139,4.72517146107885,"Gna15"
"Pfdn4",0.908349899286212,3.54957370603098,7.88978630690463,4.03213019358847e-06,0.000732980021647139,4.72063719307088,"Pfdn4"
