"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002486","BP","GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","5/80","21/14811",7.7028264917376e-08,7.55011489256077e-05,6.25431040686116e-05,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002484","BP","GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","5/80","22/14811",9.9263278958809e-08,7.55011489256077e-05,6.25431040686116e-05,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002476","BP","GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","5/80","23/14811",1.26301587932159e-07,7.55011489256077e-05,6.25431040686116e-05,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002428","BP","GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","5/80","24/14811",1.58866173436313e-07,7.55011489256077e-05,6.25431040686116e-05,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0019885","BP","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","5/80","26/14811",2.43795581906455e-07,8.09126337868936e-05,6.70258313603327e-05,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002475","BP","GO:0002475","antigen processing and presentation via MHC class Ib","5/80","27/14811",2.97942365338377e-07,8.09126337868936e-05,6.70258313603327e-05,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002483","BP","GO:0002483","antigen processing and presentation of endogenous peptide antigen","5/80","27/14811",2.97942365338377e-07,8.09126337868936e-05,6.70258313603327e-05,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002673","BP","GO:0002673","regulation of acute inflammatory response","6/80","54/14811",4.31273534924153e-07,9.1795180321077e-05,7.60406377587039e-05,"H2-Q1/Ptges/H2-Q2/H2-Bl/H2-Q10/Pparg",6
"GO:0019883","BP","GO:0019883","antigen processing and presentation of endogenous antigen","5/80","29/14811",4.34590543340186e-07,9.1795180321077e-05,7.60406377587039e-05,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0032753","BP","GO:0032753","positive regulation of interleukin-4 production","5/80","32/14811",7.27668513863086e-07,0.000129937525814744,0.000107636722289575,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10",5
"GO:0002526","BP","GO:0002526","acute inflammatory response","7/80","95/14811",7.74677428770681e-07,0.000129937525814744,0.000107636722289575,"H2-Q1/Ptges/H2-Q2/H2-Bl/Acvr1/H2-Q10/Pparg",7
"GO:0001916","BP","GO:0001916","positive regulation of T cell mediated cytotoxicity","5/80","34/14811",9.97017303438407e-07,0.000129937525814744,0.000107636722289575,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0001813","BP","GO:0001813","regulation of antibody-dependent cellular cytotoxicity","4/80","15/14811",1.02950484792219e-06,0.000129937525814744,0.000107636722289575,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0001815","BP","GO:0001815","positive regulation of antibody-dependent cellular cytotoxicity","4/80","15/14811",1.02950484792219e-06,0.000129937525814744,0.000107636722289575,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002474","BP","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","5/80","36/14811",1.33943940221086e-06,0.000129937525814744,0.000107636722289575,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0032673","BP","GO:0032673","regulation of interleukin-4 production","5/80","36/14811",1.33943940221086e-06,0.000129937525814744,0.000107636722289575,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10",5
"GO:0002519","BP","GO:0002519","natural killer cell tolerance induction","4/80","16/14811",1.36704393282214e-06,0.000129937525814744,0.000107636722289575,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032639","BP","GO:0032639","TRAIL production","4/80","16/14811",1.36704393282214e-06,0.000129937525814744,0.000107636722289575,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032679","BP","GO:0032679","regulation of TRAIL production","4/80","16/14811",1.36704393282214e-06,0.000129937525814744,0.000107636722289575,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032759","BP","GO:0032759","positive regulation of TRAIL production","4/80","16/14811",1.36704393282214e-06,0.000129937525814744,0.000107636722289575,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:2000566","BP","GO:2000566","positive regulation of CD8-positive, alpha-beta T cell proliferation","4/80","17/14811",1.78034262858877e-06,0.000161163396997488,0.000133503387086156,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0001788","BP","GO:0001788","antibody-dependent cellular cytotoxicity","4/80","18/14811",2.27962715258976e-06,0.000188416139872745,0.000156078820149853,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002477","BP","GO:0002477","antigen processing and presentation of exogenous peptide antigen via MHC class Ib","4/80","18/14811",2.27962715258976e-06,0.000188416139872745,0.000156078820149853,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0001914","BP","GO:0001914","regulation of T cell mediated cytotoxicity","5/80","41/14811",2.60697930936637e-06,0.000206494486129395,0.000171054431877723,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002729","BP","GO:0002729","positive regulation of natural killer cell cytokine production","4/80","19/14811",2.87569045331759e-06,0.000210257213529105,0.000174171373204985,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0042270","BP","GO:0042270","protection from natural killer cell mediated cytotoxicity","4/80","19/14811",2.87569045331759e-06,0.000210257213529105,0.000174171373204985,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002370","BP","GO:0002370","natural killer cell cytokine production","4/80","20/14811",3.57987887922647e-06,0.000239204406405324,0.000198150442693522,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002727","BP","GO:0002727","regulation of natural killer cell cytokine production","4/80","20/14811",3.57987887922647e-06,0.000239204406405324,0.000198150442693522,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032633","BP","GO:0032633","interleukin-4 production","5/80","44/14811",3.73043992426897e-06,0.000239204406405324,0.000198150442693522,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10",5
"GO:0001794","BP","GO:0001794","type IIa hypersensitivity","4/80","21/14811",4.40407902376978e-06,0.000239204406405324,0.000198150442693522,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0001796","BP","GO:0001796","regulation of type IIa hypersensitivity","4/80","21/14811",4.40407902376978e-06,0.000239204406405324,0.000198150442693522,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0001798","BP","GO:0001798","positive regulation of type IIa hypersensitivity","4/80","21/14811",4.40407902376978e-06,0.000239204406405324,0.000198150442693522,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002445","BP","GO:0002445","type II hypersensitivity","4/80","21/14811",4.40407902376978e-06,0.000239204406405324,0.000198150442693522,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002892","BP","GO:0002892","regulation of type II hypersensitivity","4/80","21/14811",4.40407902376978e-06,0.000239204406405324,0.000198150442693522,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002894","BP","GO:0002894","positive regulation of type II hypersensitivity","4/80","21/14811",4.40407902376978e-06,0.000239204406405324,0.000198150442693522,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002885","BP","GO:0002885","positive regulation of hypersensitivity","4/80","22/14811",5.36070474483889e-06,0.00026817630841944,0.000222149980561745,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032819","BP","GO:0032819","positive regulation of natural killer cell proliferation","4/80","22/14811",5.36070474483889e-06,0.00026817630841944,0.000222149980561745,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:2000564","BP","GO:2000564","regulation of CD8-positive, alpha-beta T cell proliferation","4/80","22/14811",5.36070474483889e-06,0.00026817630841944,0.000222149980561745,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0035740","BP","GO:0035740","CD8-positive, alpha-beta T cell proliferation","4/80","23/14811",6.46268435681926e-06,0.000307139074057835,0.000254425678889516,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:2001187","BP","GO:2001187","positive regulation of CD8-positive, alpha-beta T cell activation","4/80","23/14811",6.46268435681926e-06,0.000307139074057835,0.000254425678889516,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0001913","BP","GO:0001913","T cell mediated cytotoxicity","5/80","50/14811",7.09604141076613e-06,0.000329014017606498,0.00027254628884483,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002866","BP","GO:0002866","positive regulation of acute inflammatory response to antigenic stimulus","4/80","24/14811",7.72344799349585e-06,0.000341448247340363,0.000282846467521904,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032817","BP","GO:0032817","regulation of natural killer cell proliferation","4/80","24/14811",7.72344799349585e-06,0.000341448247340363,0.000282846467521904,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002883","BP","GO:0002883","regulation of hypersensitivity","4/80","25/14811",9.15691514005503e-06,0.000386828792916547,0.000320438480690581,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032736","BP","GO:0032736","positive regulation of interleukin-13 production","4/80","25/14811",9.15691514005503e-06,0.000386828792916547,0.000320438480690581,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0001787","BP","GO:0001787","natural killer cell proliferation","4/80","26/14811",1.07774823324457e-05,0.000445391172043027,0.000368949967261756,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002711","BP","GO:0002711","positive regulation of T cell mediated immunity","5/80","55/14811",1.14078008262797e-05,0.000461409135548035,0.000382218813798754,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0001912","BP","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","5/80","56/14811",1.24735122666658e-05,0.000469659234383126,0.000389052971919021,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0002524","BP","GO:0002524","hypersensitivity","4/80","27/14811",1.26000110223774e-05,0.000469659234383126,0.000389052971919021,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032616","BP","GO:0032616","interleukin-13 production","4/80","27/14811",1.26000110223774e-05,0.000469659234383126,0.000389052971919021,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0032656","BP","GO:0032656","regulation of interleukin-13 production","4/80","27/14811",1.26000110223774e-05,0.000469659234383126,0.000389052971919021,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0042102","BP","GO:0042102","positive regulation of T cell proliferation","6/80","98/14811",1.45578501533148e-05,0.000515375730879241,0.000426923277718289,"H2-Q1/H2-Q2/H2-Bl/Icosl/H2-Q10/Tnfsf13b",6
"GO:0002863","BP","GO:0002863","positive regulation of inflammatory response to antigenic stimulus","4/80","28/14811",1.46398156062488e-05,0.000515375730879241,0.000426923277718289,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0045953","BP","GO:0045953","negative regulation of natural killer cell mediated cytotoxicity","4/80","28/14811",1.46398156062488e-05,0.000515375730879241,0.000426923277718289,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0048002","BP","GO:0048002","antigen processing and presentation of peptide antigen","5/80","59/14811",1.61427809612745e-05,0.000554326736596779,0.000459189234446569,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10",5
"GO:0019882","BP","GO:0019882","antigen processing and presentation","6/80","100/14811",1.63457352619424e-05,0.000554326736596779,0.000459189234446569,"Raet1e/H2-Q1/H2-Q2/H2-Bl/H2-Q10/Fgl2",6
"GO:0002716","BP","GO:0002716","negative regulation of natural killer cell mediated immunity","4/80","29/14811",1.69126516163141e-05,0.000554326736596779,0.000459189234446569,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
"GO:0002864","BP","GO:0002864","regulation of acute inflammatory response to antigenic stimulus","4/80","29/14811",1.69126516163141e-05,0.000554326736596779,0.000459189234446569,"H2-Q1/H2-Q2/H2-Bl/H2-Q10",4
