"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"ENSMUSG00000102185",5.00591659089763,-2.92841937408644,22.3447195237102,3.2569599390933e-11,4.2367315580469e-07,14.9749632805787,"5033404E19Rik"
"ENSMUSG00000085471",5.28912660801659,-2.69037235774868,20.8749921849295,7.28153877645738e-11,4.2367315580469e-07,14.4011660684287,"4933423P22Rik"
"ENSMUSG00000038567",12.7706606192278,6.59375023264382,20.3137825956541,1.00427340819242e-10,4.2367315580469e-07,14.1647733909517,"Cyp24a1"
"ENSMUSG00000023039",1.61545381051184,6.40099201343799,20.0433052155874,1.17613479298963e-10,4.2367315580469e-07,14.0471774595142,"Krt7"
"ENSMUSG00000026247",2.49598811871132,1.39789228969769,17.6354219696944,5.28197458782878e-10,1.5221594367205e-06,12.883466930223,"Ecel1"
"ENSMUSG00000036046",1.29382167843351,5.78274687965652,15.5500036283611,2.28345042030164e-09,4.74221867343961e-06,11.6761592314028,"5031439G07Rik"
"ENSMUSG00000026961",1.85033014589016,4.96032311916832,15.5380835757651,2.30380531015874e-09,4.74221867343961e-06,11.6686390062149,"Lrrc26"
"ENSMUSG00000070530",3.28114323484074,1.86418444314134,15.3547657958108,2.64277887249222e-09,4.75997509671755e-06,11.5520256817318,"Wfdc16"
"ENSMUSG00000041577",3.97634755027644,6.28160867736363,14.3474503857843,5.77598843156624e-09,8.71141837682582e-06,10.8776151266361,"Prelp"
"ENSMUSG00000048234",1.31193203143526,6.17012176877908,14.2385149923502,6.30413302932283e-09,8.71141837682582e-06,10.8011050337999,"Rnf149"
"ENSMUSG00000099839",5.00358698942854,-2.31662384602198,14.1723066762491,6.65039920501659e-09,8.71141837682582e-06,10.7542477997609,"Gm29374"
"ENSMUSG00000035314",1.82422591529826,4.93807272548536,14.015392480435,7.55569921693058e-09,9.07250583472939e-06,10.6421067519139,"Gdpd5"
"ENSMUSG00000002250",0.84132426852498,8.86431591541523,13.8225015468544,8.85469155891127e-09,9.81440389787327e-06,10.5021223412765,"Ppard"
"ENSMUSG00000025854",2.92576010011805,0.949504472016157,13.5898147662995,1.07506346880979e-08,1.10647068014859e-05,10.3300585056479,"Fam20c"
"ENSMUSG00000025189",1.91756452242128,2.53603855724381,13.493343187637,1.16612227995776e-08,1.12017706212743e-05,10.2576747730726,"Cnnm1"
"ENSMUSG00000037621",2.25627106921463,1.38934237374985,13.080584245828,1.66104858852418e-08,1.4958780695028e-05,9.94085098944665,"Atoh8"
"ENSMUSG00000085830",2.20706227252602,1.39902201670519,12.9560372430174,1.85173500998101e-08,1.56950880934214e-05,9.84292679035259,"Grin1os"
"ENSMUSG00000019943",1.66275796507917,8.08610544687346,12.8679297231066,2.00081664738089e-08,1.6016537262284e-05,9.77298600579954,"Atp2b1"
