,logFC,AveExpr,t,P.Value,adj.P.Val,B
5033404E19Rik,5.022637866,-2.928132708,22.78758748,2.48E-11,3.56E-07,15.10135511
4933423P22Rik,5.287963066,-2.690085692,20.54776729,8.46E-11,5.32E-07,14.23910927
Cyp24a1,12.73502877,6.594036899,19.88849232,1.24E-10,5.32E-07,13.95601572
Krt7,1.613867449,6.401278679,19.59345,1.48E-10,5.32E-07,13.82455519
Ecel1,2.495426233,1.398178956,17.15663515,7.05E-10,2.03E-06,12.61258921
Lrrc26,1.8564062,4.960609785,15.36591039,2.55E-09,5.24E-06,11.55437331
Wfdc16,3.284137308,1.864471109,15.36100936,2.55E-09,5.24E-06,11.55125198
5031439G07Rik,1.28843731,5.783033546,15.07227439,3.18E-09,5.71E-06,11.36502915
Prelp,3.954276623,6.281895343,14.16134213,6.53E-09,9.48E-06,10.7460401
Gm29374,5.025551097,-2.31633718,14.14807278,6.60E-09,9.48E-06,10.73665402
Rnf149,1.3070612,6.170408435,13.89318498,8.13E-09,1.00E-05,10.55420782
Gdpd5,1.815519502,4.938359392,13.86067464,8.35E-09,1.00E-05,10.5306398
Fam20c,2.902445996,0.949791138,13.45319967,1.18E-08,1.30E-05,10.22938467
Cnnm1,1.920342152,2.536325223,13.35089811,1.28E-08,1.32E-05,10.15201042
Ppard,0.837601022,8.864602581,13.26328895,1.38E-08,1.32E-05,10.08518042
Atoh8,2.253074404,1.38962904,12.99165526,1.75E-08,1.57E-05,9.87458069
Grin1os,2.205746022,1.399308683,12.81380097,2.05E-08,1.73E-05,9.733851211
Atp2b1,1.649959329,8.086392113,12.60676454,2.46E-08,1.96E-05,9.567129071
Ripor3,5.395906283,-1.524018608,12.3825026,3.02E-08,2.18E-05,9.38292787
Gm2061,3.345069272,3.352902577,12.32428171,3.18E-08,2.18E-05,9.334481809
Orai1,1.437881486,5.080756238,12.32106489,3.19E-08,2.18E-05,9.331797467
Myadm,1.330375634,6.420089263,12.19108896,3.60E-08,2.35E-05,9.222665531
Slc30a1,1.568357276,5.310218562,12.02037758,4.22E-08,2.63E-05,9.077317499
Slc37a2,3.322739965,6.303203415,11.9422229,4.54E-08,2.72E-05,9.010000124
Ptprj,1.91474334,5.455475438,11.62191835,6.16E-08,3.51E-05,8.728911207
Trim47,3.731554922,0.21637884,11.58865391,6.36E-08,3.51E-05,8.699231902
6330403L08Rik,1.707071492,2.830001648,11.49050654,7.00E-08,3.72E-05,8.611118129
S100g,3.186808399,7.344521099,11.1883504,9.42E-08,4.83E-05,8.334655448
