"","Symbol","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652879.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652880.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652881.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652882.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652883.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652884.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652885.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652886.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652887.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652888.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652889.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652890.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652891.tabular"
"1","",5518.10084634857,5397.77651036075,5903.15686816155,4529.66163201027,5686.93677977177,6412.56490492249,5325.70600295887,4664.78414016089,5101.8373001051,4257.16895938635,5522.60855967361,8558.29446753765,7817.74204893157
"2","0610005C13Rik",1971.40115,2880.80514357,2654.98831,1878.94014,1983.91675274715,2579.049726,1910.122770636,1730.542567,2434.31151075517,1733.963712455,1886.933901432,2960.60868423334,2124.997705
"3","0610006L08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0
"4","0610009B22Rik",158.99969,124,138,165.0001,230.99975,210.99995,159.99975,129.0004,119.00027,139.00023,145,183.99962,169.00018
"5","0610009E02Rik",18.570282,18.95453,23.0527,16.48349,29.24211,25.31194,20.40579,14.76437,17.83852,18.31564,12.522343,18.3718,26.60972
"6","0610009L18Rik",11.00001,13,10.99999,13,12.00001,12.00001,3,6.99999,13.00001,8.99999,12.99996,23.00001,9
"7","0610010K14Rik",92.23531,102.03304,95.29344,117.44179,154.0834,140.17407,84.05687,109.04895,122.7494556,102.29647,89.28346,118.621935113056,116.97426
"8","0610012D04Rik",0,0,0,0,1,3,2,0,0,0,1,1,0
"9","0610025J13Rik",0,0,0,0,0,0,1,0,0,0,0,0,0
"10","0610030E20Rik",607.31060279,784.27685,731.3387,595.51416,548.4389,557.0967,564.64027,542.31014,581.62105,552.13132,784.559,782.96074,668.91489
