"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cdc14a",1.26989088248633,5.26720667228129,14.5796693876249,1.79709619781248e-09,2.46849133731523e-05,11.4687526599932
"Ptprj",1.87447161960578,5.99745107408271,13.3575840272287,5.28262209361877e-09,2.73722886627799e-05,10.6058355136109
"5031439G07Rik",1.44642862628977,6.24330700516912,13.2233115215149,5.97822262582555e-09,2.73722886627799e-05,10.5046304636394
"Ecel1",2.61019417434791,1.8672460625349,11.6745581707521,2.70890951466226e-08,9.30239527335019e-05,9.23456035119713
"Myo19",1.47094705770319,5.18023719207218,11.167795688464,4.60809952945497e-08,0.000106202670555905,8.7741483442225
"Cyp24a1",11.4028549900057,7.4176052157562,11.0739971151754,5.09535702997564e-08,0.000106202670555905,8.68628792577199
"4933423P22Rik",3.29207527016527,-1.33086681823235,11.0180144724427,5.41219200561543e-08,0.000106202670555905,8.63344574288841
"Slc37a2",2.70778533941782,7.1654254250192,10.2575746856885,1.26009406315388e-07,0.000170659059169469,7.88464869580157
"Top2b",0.904580107655374,6.0363460592453,10.2392549128799,1.28679989817847e-07,0.000170659059169469,7.86587226539293
"Atp2b1",1.29641493695652,8.6197026742565,10.1478780515353,1.42933783824143e-07,0.000170659059169469,7.77168140227402
"H2-Q3",1.89413484083162,1.31589271382744,10.1075900376969,1.49745493590214e-07,0.000170659059169469,7.72986720477177
"Grin1os",1.3352854292221,0.729194702903211,10.0515492664534,1.59802769032393e-07,0.000170659059169469,7.67141077432676
"Spon2",5.32772301230726,0.155606880506545,10.0423853398884,1.61514834682812e-07,0.000170659059169469,7.66181929427954
"Gm29374",5.21112704295993,-1.28806803768449,9.97679856987279,1.74354597217448e-07,0.000171066767669919,7.59290412311079
"Mmgt2",0.760872946383945,4.23178684554766,9.72133303943597,2.35766820200049e-07,0.00021174277958515,7.31992490760706
"Ripor3",5.31787686849927,-0.315482677965398,9.64425319325055,2.58552212939404e-07,0.00021174277958515,7.23611636128602
"Brpf3",0.78324631201699,7.16098083870706,9.63304025316424,2.62057895526176e-07,0.00021174277958515,7.22386803514298
"Myo15a",2.93775369581829,-0.0336181626625428,9.23579134830298,4.25655936500333e-07,0.00032482277465381,6.78049064239272
"Pgap1",1.63027495051767,5.11178274291881,9.18239238320557,4.54880620085078e-07,0.000328854747236244,6.71946450874976
"Slc36a1",0.781360071194656,8.07056634236863,8.76816216670595,7.69062476100367e-07,0.000528192108585732,6.23419802349738
"Vstm5",2.22474889364741,4.59901420042092,8.61595516667795,9.37027927248764e-07,0.000580176399264893,6.05048109170668
"Oxr1",1.47504572971063,4.60939243141687,8.60725434848409,9.47741326766665e-07,0.000580176399264893,6.03988932639888
"Gga3",0.701082383935962,4.42004863170145,8.57774767296,9.85054508644177e-07,0.000580176399264893,6.00389723663822
"Ereg",2.104080351356,0.691250179164046,8.52710150330752,1.0527922231977e-06,0.000580176399264893,5.94185655911126
"Mctp2",1.59125251719578,1.49642529885896,8.50036568883278,1.09053403369102e-06,0.000580176399264893,5.9089712295847
"Rhov",2.04914086276227,1.50121834306913,8.49507008662032,1.09817897356488e-06,0.000580176399264893,5.90244652999844
"Zfp961",0.842743528306081,4.75239180041358,8.44712740548001,1.17004259358481e-06,0.000594202429925382,5.84320965553617
"Zfp239",1.00139170292696,4.42198677473099,8.42103249827738,1.21124548907329e-06,0.000594202429925382,5.81084077027454
"Gstm3",2.73516278240646,8.72068069973719,8.38302559017385,1.27404069732679e-06,0.000603455966154508,5.76353558787192
"Neo1",0.881835850508218,6.20589688212432,8.21657157887285,1.59278568095526e-06,0.000729283470453381,5.55410163259979
