,c1,t1,c2,c3,c4,c5,c6,t2,t3,t4,t5,t6
0610005C13Rik,1588.568688,1325.15623,1843.73307,1189.699487,2558.56495,1864.904751,1597.95094,911.3298695,1380.21434,1121.52726,1227.65741,1992.14078
0610006L08Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610009B22Rik,252.00025,252.0003,231.9997,290.8661,269.9996,317,243.0005,235,206,212.00019,347.99996,283
0610009E02Rik,50.00375,65.13058,43.9748,76.3289,84.40516,52.85576,42.04663,20.18227,46.49591,47.18171,145.38542,92.13363
0610009L18Rik,14,27.00001,22,22,38.99998,12.00001,24,25.99998,16.99997,21.00001,45.00007,31.00001
0610010K14Rik,305.97869,427.98882,299.7634022,408.3551161,294.50195,245.53164,291.3426918,320.2156796,398.40917,380.63866,422.19536,358.0899489
0610012D04Rik,1,4,1,1,3,0,0,0,3,1,0,0
0610025J13Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610030E20Rik,833.23854,938.9207009,847.7076,792.9087,825.31251,598.32261,774.3436,809.7692,783.628,711.6966989,667.67574,663.96471
0610031O16Rik,2.22576,5.85871,6.05486,2.03858,10.186345,3.15469,8.24835,5.23602,1.02373,1.05649,12.8365,6.07211
0610033M10Rik,1,0,1,0,1,1,0,0,1,0,0,2
0610038B21Rik,1.01783,2.07441,1.0433,0,1.999995,0,0,1.01814,4.06832,3.09296,0,1
0610039K10Rik,9.00312,10.00358,7.003081,5.001517,11.01548,3.000838,15.01369,5.001187,9.00743,5.003391,4.003486,5.004559
0610040B10Rik,26.29701,12.12393,19.35831,24.38953,19.9665,19.944031,21.50047,13.53637,18.43716,19.799668,31.54493,20.228202
0610040F04Rik,7.00135,10.00195,14.00054,12.00056,8.00186,5.0014,12.01742,7,6.00473,9.00176,12.00495,3.00104
0610040J01Rik,905.00038,1374.996,1071.99582,1095.00347,1344.99573,1125.99807,1001.99975,1281.99578,1517.8121,1437.00094,1450.0025,1538.00023
0610043K17Rik,2,3,0,1.999997,1,0,5,1,1,0,2,2
0710001A04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1010001B22Rik,3,6,2,3.14715,7.79163,3,2.16705,1.02195,2,1.05697,11.501,2
1100001I12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110002E22Rik,15,16.8448,16,7,25,21.4868,28.6375,18.8235,24,13,4,14.2331
1110002J07Rik,5.01483,7.02775,7.03461,5.01307,6.01472,4.02208,9.05888,8.04052,7.03347,9.04482,10,11
1110002L01Rik,162.22519,180.83725,115.7829,108.14511,88.86903,75.69659,140.38621,136.03665,143.59118,77.7131,114.36288,87.0569
1110002O04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110003F10Rik,6,3,4.01546,8.01877,7.22035,8.8497,5.57582,6.63018,5.44548,6.19682,8.31011,4
1110004F10Rik,848.00022,880.00008,748.99987,1142.00004,829.8714738,808.00013,815.0001947,938.81741,885.99935,970.9993532,1094.99983,925.877171
1110006O24Rik,16,27,17,33,26,9,21,24,22,21,36,19
1110008E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110013H19Rik,13,10,7,5,3,8,8,9,3,5,6,5
1110015O18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110017D15Rik,0,1,2,0,1,0,2,0,1,0,1,2
1110018N20Rik,0,0,2.03081,1.00638,2.00961,0,5,3.02055,1.42547,0,3.01814,0
1110019B22Rik,33,6,13.5831,3.37778,19,14,28.6672,11.3348,3.37692,9,11.8725,2.69143
1110019D14Rik,69.00003,86.00427,69.00003,88,73.99996,53.99998,39.01156,62,81.00835,52.99999,79.2229,71.00004
1110020A21Rik,22.99997,31.999982,23,28.00002,35.99997,31.99998,27,11,26.99997,13.99996,25.99997,29
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110025M09Rik,14,13,18,18,16,16,17,14,13,16,20,21
1110028F11Rik,7,11.99997,6,4,7,9,4,2,12,12,18.00001,11
1110028F18Rik,0,1,0,2,0,2,0,0,2,1,2,1
1110032F04Rik,12.6428,17.6534,25,7.14143,19.8814,11,9,11,13.2545,13,18.6706,11.2816
1110035H17Rik,45.8535,32.5825,29.2313,36.3695,33.0637,20.9706,37.4124,25.8201,32.4295,29.7211,36.0939,37.3283
1110038B12Rik,595.0000027,805.99946,542.075021,960.0002479,472.9072222,469.99993,606.00038,703.163822,686.999709,825.0003,817.9232914,582.9998
1110038F14Rik,205.00018,256.5719,204.1371,231.35374,214.7771,170.57625,189.9009,222.6731,235.48105,244.02471,255.36977,222.22007
1110046J04Rik,12.24948,7.35159,11.12339,6.0318,10.04715,18.65335,13.53115,13.11919,8.15622,8.15661,11.37828,7.14525
1110057P08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110059E24Rik,470.0003,501.0003,471.00045,686.99972,529.0001,551.0003,506.00028,426.9997,493.9998,528.99957,442.0005,552.00037
1110059G10Rik,268.4766,343.0706,272.3272,285.2748,360.3112,338.0571,325.7889,318.6359,315.0002,282.1729,488.1898,382.9634
1110060G06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110065P20Rik,145.16665,156.76565,114.8213,136.9435,189.84,150.0337,158.99672,116.5884,114.2101,103.7393,152.21109,175.69511
1190001M18Rik,23,25,20,38,4,12,13,24,36,31,17,17
1190005I06Rik,5.90951,5.5964,6,7.06417,7.56237,2,2,6.46503,11,9,9,6.52672
