Name	Length	EffectiveLength	TPM	NumReads
NC_000067.7	195154279	195154083.115	26.834188	1145346.433
NT_166280.1	169725	169529.115	0.000000	0.000
NT_166281.1	241735	241539.115	0.000000	0.000
NT_166282.1	153618	153422.115	0.000000	0.000
NT_162750.1	206961	206765.115	0.000000	0.000
NW_023337852.1	8412	8216.115	172.530292	310.029
NT_166338.1	40056	39860.115	0.000000	0.000
NC_000068.8	181755017	181754821.115	24.769789	984643.489
NC_000069.7	159745316	159745120.115	27.807265	971530.987
NC_000070.7	156860686	156860490.115	28.607949	981456.520
NT_187055.1	1976	1780.115	28.253600	11.000
NC_000071.7	151758149	151757953.115	34.186390	1134685.418
NT_187056.1	199368	199172.115	0.055294	2.409
NT_187057.1	205776	205580.115	0.000000	0.000
NT_187058.1	184189	183993.115	0.000000	0.000
NT_166438.1	195993	195797.115	0.000000	0.000
NT_187059.1	953012	952816.115	0.000000	0.000
NC_000072.7	149588044	149587848.115	24.213528	792182.358
NC_000073.7	144995196	144995000.115	33.040976	1047795.822
NT_166307.1	175968	175772.115	0.000000	0.000
NC_000074.7	130127694	130127498.115	21.956524	624889.800
NC_000075.7	124359700	124359504.115	39.143033	1064643.547
NC_000076.7	130530862	130530666.115	22.945957	655072.694
NC_000077.7	121973369	121973173.115	44.546313	1188356.818
NC_000078.7	120092757	120092561.115	18.865664	495517.464
NC_000079.7	120883175	120882979.115	14.926428	394631.556
NC_000080.7	125139656	125139460.115	13.021874	356400.692
NC_000081.7	104073951	104073755.115	25.255475	574867.210
NC_000082.7	98008968	98008772.115	18.739574	401694.084
NC_000083.7	95294699	95294503.115	30.704381	639939.575
NC_000084.7	90720763	90720567.115	15.116222	299929.918
NC_000085.7	61420004	61419808.115	48.368635	649745.172
NC_000086.8	169476592	169476396.115	8.612139	319220.697
NT_165789.3	559103	558907.115	12.384427	1513.862
NC_000087.8	91455967	91455771.115	0.004585	91.715
NT_187060.1	182347	182151.115	0.000000	0.000
NT_187061.1	259875	259679.115	0.000000	0.000
NT_187062.1	155838	155642.115	0.000000	0.000
NT_187063.1	158099	157903.115	0.000000	0.000
NT_166451.1	42057	41861.115	0.000000	0.000
NT_166462.1	31602	31406.115	12.945976	88.924
NT_166465.1	25871	25675.115	0.000000	0.000
NT_166466.1	23158	22962.115	28.152483	141.384
NT_166467.1	38659	38463.115	0.000000	0.000
NT_166469.1	35240	35044.115	0.000000	0.000
NT_166474.1	24668	24472.115	0.000000	0.000
NT_166476.1	23629	23433.115	0.000000	0.000
NT_166478.1	24323	24127.115	0.000000	0.000
NT_166443.1	22974	22778.115	0.000000	0.000
NT_166444.1	31704	31508.115	0.000000	0.000
NT_166480.1	21240	21044.115	0.000000	0.000
NT_166456.1	28664	28468.115	0.000000	0.000
NT_166471.1	24685	24489.115	0.000000	0.000
NT_166473.1	28772	28576.115	0.000000	0.000
NT_166454.1	26764	26568.115	1.911808	11.109
NT_166463.1	72385	72189.115	0.000000	0.000
NT_166450.1	47073	46877.115	0.000000	0.000
NT_166452.1	20208	20012.115	0.000000	0.000
NT_187064.1	114452	114256.115	150.891486	3770.639
NW_023337853.1	31129	30933.115	222.657108	1506.368
NC_005089.1	16299	16103.115	998848.550640	3517874.308
